Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
haircolor-set10-001-bleach-party-20-volume-lightening-kit,Bleach Party 20 Volume Lightening Kit,"<p><strong>Bleach Party 20 Volume Lightening Kit</strong> is a salon-ready bleach lightener product from Lime Crime.</p><p>Bleach Party hair lightening kit makes bleaching your locks at home easy Create the perfect base for any vivid hair dye Lifts up to 6 levels (results will vary) Create bold blonde locks Bleach Party hair lightening kit makes bleaching your locks at home easy. Our hair lightening kit helps you achieve all your lightening goals! Create bold blonde locks or the perfect base color to layer prior to applying any Lime Crime Unicorn Hair semi-permanent hair dye. Our Bleach Party 20 volume hair lightening kit can lift hair up to 6 levels (results will vary).</p><p>Ideal for professional color services including lightening, depositing, toning, maintenance, and finishing workflows.</p><p><strong>Supplier links:</strong> <a href=""https://www.sallybeauty.com/hair-color/other-products-and-applications/bleach-and-lightener/bleach-party-20-volume-lightening-kit/SBS-007465.html"">Sally Beauty</a> | <a href=""https://www.amazon.com/s?k=Bleach+Party+20+Volume+Lightening+Kit"">Amazon</a> | <a href=""https://www.ebay.com/sch/i.html?_nkw=Bleach+Party+20+Volume+Lightening+Kit"">eBay</a></p>",Lime Crime,Hair Coloring,"sallybeauty,hair-color,set10,bleach-lightener",TRUE,Title,Default Title,HCOLOR-SET10-001-007465,350,19,deny,manual,25.29,32.37,TRUE,TRUE,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw5c650eb7/images/large/SBS-007465-1.jpg?sw=750&sh=750&sfrm=png,1,Bleach Party 20 Volume Lightening Kit product image 1,active
haircolor-set10-001-bleach-party-20-volume-lightening-kit,,,,,,,,,,,,,,,,,,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwe75798d9/images/large/SBS-007465-2.jpg?sw=750&sh=750&sfrm=png,2,Bleach Party 20 Volume Lightening Kit product image 2,
haircolor-set10-001-bleach-party-20-volume-lightening-kit,,,,,,,,,,,,,,,,,,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwd24d2899/images/large/SBS-007465-3.jpg?sw=750&sh=750&sfrm=png,3,Bleach Party 20 Volume Lightening Kit product image 3,
haircolor-set10-001-bleach-party-20-volume-lightening-kit,,,,,,,,,,,,,,,,,,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwd66e4b5e/images/large/SBS-007465-4.jpg?sw=750&sh=750&sfrm=png,4,Bleach Party 20 Volume Lightening Kit product image 4,
haircolor-set10-001-bleach-party-20-volume-lightening-kit,,,,,,,,,,,,,,,,,,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw1068900b/images/large/SBS-007465-5.jpg?sw=750&sh=750&sfrm=png,5,Bleach Party 20 Volume Lightening Kit product image 5,
haircolor-set10-002-bleach-please-complete-lightening-kit,"Bleach, Please Complete Lightening Kit","<p><strong>Bleach, Please Complete Lightening Kit</strong> is a salon-ready bleach lightener product from Arctic Fox.</p><p>Infused with Castor Oil, Mango Seed Butter, Cocoa, Sunflower Oil, Acaí & Papaya Contains POLYCARE SPLIT THERAPY, repairs damaged cuticles & split ends Bleach, Please is 100% cruelty-free and vegan Lifts up to 8 levels Vegetable based Complete Hair Lightening Kit Cream Bleach + Developer + Gloves</p><p>Ideal for professional color services including lightening, depositing, toning, maintenance, and finishing workflows.</p><p><strong>Supplier links:</strong> <a href=""https://www.sallybeauty.com/hair-color/other-products-and-applications/bleach-and-lightener/bleach-please-complete-lightening-kit/SBS-004783.html"">Sally Beauty</a> | <a href=""https://www.amazon.com/s?k=Bleach%2C+Please+Complete+Lightening+Kit"">Amazon</a> | <a href=""https://www.ebay.com/sch/i.html?_nkw=Bleach%2C+Please+Complete+Lightening+Kit"">eBay</a></p>",Arctic Fox,Hair Coloring,"sallybeauty,hair-color,set10,bleach-lightener",TRUE,Title,Default Title,HCOLOR-SET10-002-004783,350,20,deny,manual,19.99,25.59,TRUE,TRUE,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwbb5187aa/images/large/SBS-004783-1.jpg?sw=750&sh=750&sfrm=png,1,"Bleach, Please Complete Lightening Kit product image 1",active
haircolor-set10-002-bleach-please-complete-lightening-kit,,,,,,,,,,,,,,,,,,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw57e6fd32/images/large/SBS-004783-2.jpg?sw=750&sh=750&sfrm=png,2,"Bleach, Please Complete Lightening Kit product image 2",
haircolor-set10-002-bleach-please-complete-lightening-kit,,,,,,,,,,,,,,,,,,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw17233ad6/images/large/SBS-004783-4.jpg?sw=750&sh=750&sfrm=png,3,"Bleach, Please Complete Lightening Kit product image 3",
haircolor-set10-002-bleach-please-complete-lightening-kit,,,,,,,,,,,,,,,,,,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw641fbdee/images/large/SBS-004783-5.jpg?sw=750&sh=750&sfrm=png,4,"Bleach, Please Complete Lightening Kit product image 4",
haircolor-set10-002-bleach-please-complete-lightening-kit,,,,,,,,,,,,,,,,,,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwf8e17c67/images/large/SBS-004783.jpg?sw=750&sh=750&sfrm=png,5,"Bleach, Please Complete Lightening Kit product image 5",
